"128v -- Population projection 2019: Population according to age and sex by area, 2019-2040"

"Area";"Age";"2020 Total Population 31 Dec (projection 2019)";"2020 Males Population 31 Dec (projection 2019)";"2020 Females Population 31 Dec (projection 2019)";"2025 Total Population 31 Dec (projection 2019)";"2025 Males Population 31 Dec (projection 2019)";"2025 Females Population 31 Dec (projection 2019)";"2030 Total Population 31 Dec (projection 2019)";"2030 Males Population 31 Dec (projection 2019)";"2030 Females Population 31 Dec (projection 2019)";"2035 Total Population 31 Dec (projection 2019)";"2035 Males Population 31 Dec (projection 2019)";"2035 Females Population 31 Dec (projection 2019)";"2040 Total Population 31 Dec (projection 2019)";"2040 Males Population 31 Dec (projection 2019)";"2040 Females Population 31 Dec (projection 2019)"
"WHOLE COUNTRY";"45";68396;35215;33181;70011;36054;33957;72087;37195;34892;75354;39018;36336;72941;37904;35037
"WHOLE COUNTRY";"46";65228;33215;32013;69155;35332;33823;73601;37916;35685;73522;37984;35538;74423;38541;35882
"WHOLE COUNTRY";"47";59449;30499;28950;69144;35531;33613;74644;38339;36305;73276;37774;35502;74138;38356;35782
"WHOLE COUNTRY";"48";61361;31396;29965;69628;35535;34093;73601;38068;35533;69878;36095;33783;75889;39392;36497
"WHOLE COUNTRY";"49";63073;31844;31229;69762;35708;34054;70526;36086;34440;70280;36262;34018;74752;38620;36132
"WHOLE COUNTRY";"50";65019;32801;32218;68143;34975;33168;69795;35835;33960;71860;36977;34883;75143;38824;36319
"WHOLE COUNTRY";"51";66231;33577;32654;64968;32964;32004;68837;35068;33769;73322;37669;35653;73245;37737;35508
"WHOLE COUNTRY";"52";70800;35593;35207;59230;30278;28952;68783;35227;33556;74218;38012;36206;72949;37513;35436
"WHOLE COUNTRY";"53";72378;36420;35958;60981;31087;29894;69150;35174;33976;73099;37674;35425;69531;35816;33715
"WHOLE COUNTRY";"54";72650;36430;36220;62604;31479;31125;69200;35292;33908;70041;35732;34309;69876;35939;33937
"WHOLE COUNTRY";"55";72795;36452;36343;64360;32326;32034;67542;34502;33040;69209;35408;33801;71320;36586;34734
"WHOLE COUNTRY";"56";73955;37010;36945;65458;33010;32448;64312;32508;31804;68229;34620;33609;72663;37208;35455
"WHOLE COUNTRY";"57";74540;37203;37337;69766;34869;34897;58595;29811;28784;68022;34692;33330;73422;37465;35957
"WHOLE COUNTRY";"58";73491;36676;36815;71220;35620;35600;60209;30529;29680;68281;34580;33701;72263;37113;35150
"WHOLE COUNTRY";"59";72869;36104;36765;71297;35519;35778;61651;30830;30821;68233;34634;33599;69141;35118;34023
"WHOLE COUNTRY";"60";72219;35531;36688;71281;35412;35869;63258;31569;31689;66465;33771;32694;68205;34739;33466
"WHOLE COUNTRY";"61";71539;35196;36343;72229;35841;36388;64159;32132;32027;63187;31746;31441;67110;33891;33219
"WHOLE COUNTRY";"62";68903;33769;35134;72570;35886;36684;68192;33825;34367;57485;29066;28419;66819;33889;32930
"WHOLE COUNTRY";"63";71483;34971;36512;71368;35239;36129;69391;34396;34995;58889;29658;29231;66898;33676;33222
"WHOLE COUNTRY";"64";72941;35548;37393;70523;34548;35975;69255;34184;35071;60148;29834;30314;66674;33614;33060
"WHOLE COUNTRY";"65";71795;34759;37036;69647;33828;35819;69013;33910;35103;61512;30423;31089;64790;32675;32115
"WHOLE COUNTRY";"66";71501;34055;37446;68781;33370;35411;69714;34190;35524;62212;30854;31358;61500;30648;30852
"WHOLE COUNTRY";"67";70024;33580;36444;66058;31891;34167;69890;34126;35764;65976;32368;33608;55866;27992;27874
"WHOLE COUNTRY";"68";71905;34485;37420;68278;32857;35421;68544;33387;35157;66961;32822;34139;57121;28487;28634
"WHOLE COUNTRY";"69";68889;32936;35953;69435;33257;36178;67541;32612;34929;66682;32505;34177;58231;28592;29639
"WHOLE COUNTRY";"70";70668;33585;37083;68106;32368;35738;66501;31787;34714;66270;32143;34127;59388;29047;30341
"WHOLE COUNTRY";"71";72083;34066;38017;67573;31533;36040;65459;31226;34233;66776;32289;34487;59921;29374;30547
"WHOLE COUNTRY";"72";72511;33996;38515;65823;30894;34929;62580;29673;32907;66655;32046;34609;63314;30670;32644
"WHOLE COUNTRY";"73";71217;33132;38085;67182;31477;35705;64378;30373;34005;65078;31175;33903;64033;30941;33092
"WHOLE COUNTRY";"74";68215;31374;36841;63977;29817;34160;65070;30486;34584;63844;30254;33590;63476;30455;33021
"WHOLE COUNTRY";"75";59758;27458;32300;65107;30083;35024;63413;29415;33998;62490;29261;33229;62771;29915;32856
"WHOLE COUNTRY";"76";46924;21044;25880;65883;30194;35689;62497;28387;34110;61129;28506;32623;62888;29816;33072
"WHOLE COUNTRY";"77";43743;19520;24223;65652;29748;35904;60340;27486;32854;58010;26803;31207;62363;29330;33033
"WHOLE COUNTRY";"78";34196;15014;19182;63734;28570;35164;60962;27641;33321;59123;27114;32009;60413;28243;32170
"WHOLE COUNTRY";"79";48273;20908;27365;60265;26604;33661;57367;25789;31578;59139;26847;32292;58704;27065;31639
"WHOLE COUNTRY";"80";33046;13958;19088;51995;22877;29118;57596;25608;31988;56933;25517;31416;56831;25826;31005
"WHOLE COUNTRY";"81";36983;15099;21884;40072;17094;22978;57254;25113;32141;55242;24114;31128;54811;24684;30127
"WHOLE COUNTRY";"82";33957;13903;20054;36610;15481;21129;56005;24176;31829;52405;22856;29549;51196;22765;28431
"WHOLE COUNTRY";"83";30150;11907;18243;27958;11573;16385;53137;22589;30548;51852;22406;29446;51180;22485;28695
"WHOLE COUNTRY";"84";26727;10317;16410;38265;15501;22764;48987;20361;28626;47600;20255;27345;50054;21622;28432
"WHOLE COUNTRY";"85";24906;9431;15475;25339;9941;15398;40903;16819;24084;46370;19359;27011;46852;19814;27038
"WHOLE COUNTRY";"86";21821;7917;13904;27277;10243;17034;30433;12041;18392;44544;18229;26315;44009;18008;26001
"WHOLE COUNTRY";"87";18457;6512;11945;23781;8872;14909;26478;10270;16208;41634;16581;25053;40021;16185;23836
"WHOLE COUNTRY";"88";17190;5722;11468;19974;7089;12885;19154;7191;11963;37550;14575;22975;37659;14930;22729
"WHOLE COUNTRY";"89";15394;5049;10345;16634;5701;10933;24669;8961;15708;32629;12228;20401;32621;12580;20041
"WHOLE COUNTRY";"90";13539;4119;9420;14385;4810;9575;15200;5290;9910;25402;9344;16058;29705;11143;18562
"WHOLE COUNTRY";"91";11047;3097;7950;11652;3674;7978;15140;4970;10170;17457;6059;11398;26395;9529;16866
"WHOLE COUNTRY";"92";8872;2461;6411;9030;2738;6292;12096;3901;8195;13944;4693;9251;22691;7858;14833
"WHOLE COUNTRY";"93";6656;1684;4972;7630;2176;5454;9183;2786;6397;9142;2941;6201;18511;6169;12342
"WHOLE COUNTRY";"94";5065;1239;3826;6069;1659;4410;6804;1945;4859;10461;3196;7265;14329;4514;9815
"WHOLE COUNTRY";"95";3830;845;2985;4732;1184;3548;5210;1443;3767;5702;1634;4068;9848;3004;6844
"WHOLE COUNTRY";"96";2662;573;2089;3354;751;2603;3658;927;2731;4926;1308;3618;5864;1643;4221
"WHOLE COUNTRY";"97";1842;334;1508;2314;506;1808;2407;587;1820;3339;856;2483;3974;1060;2914
"WHOLE COUNTRY";"98";1176;190;986;1493;309;1184;1746;389;1357;2154;523;1631;2198;577;1621
"WHOLE COUNTRY";"99";723;127;596;928;193;735;1170;284;886;1342;332;1010;2132;554;1578
"WHOLE COUNTRY";"100 -";962;146;816;1380;228;1152;1752;319;1433;1972;411;1561;2423;538;1885
